FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
17,28,0.187500,-0.375010,635.000000,-0.041016,0.183594
17,29,0.234375,-0.375010,478.000000,0.044922,0.230469
17,30,0.281250,-0.375010,216.000000,0.062500,0.275391
17,31,0.140625,-0.250007,444.000000,0.021484,0.138672
17,32,0.187500,-0.250007,902.000000,-0.035156,0.183594
17,33,0.234375,-0.250007,1139.000000,-0.037109,0.232422
17,34,0.281250,-0.250007,749.000000,-0.035156,0.279297
17,35,0.328125,-0.250007,205.000000,-0.031250,0.326172
18,1,0.140625,0.000000,265.000000,-0.009766,0.140625
18,2,0.187500,0.000000,303.000000,-0.011719,0.187500
18,3,0.234375,0.000000,273.000000,0.050781,0.228516
18,4,0.187500,0.125003,341.000000,0.140625,0.125000
18,5,0.234375,0.125003,412.000000,0.095703,0.214844
18,6,0.140625,0.250007,191.000000,0.101562,0.097656
18,7,0.187500,0.250007,405.000000,0.134766,0.130859
18,8,0.234375,0.250007,362.000000,0.175781,0.154297
18,9,0.140625,0.375010,73.000000,0.097656,0.101562
18,10,0.187500,0.375010,157.000000,0.134766,0.130859
18,11,0.234375,0.375010,140.000000,0.167969,0.162109
18,12,0.140625,-0.250007,232.000000,-0.003906,0.140625
18,13,0.187500,-0.250007,247.000000,0.000000,0.187500
18,14,0.234375,-0.250007,271.000000,0.037109,0.232422
18,15,0.281250,-0.250007,173.000000,0.052734,0.275391
18,16,0.140625,-0.125003,514.000000,0.039062,0.134766
18,17,0.187500,-0.125003,514.000000,-0.005859,0.187500
18,18,0.234375,-0.125003,632.000000,0.029297,0.232422
18,19,0.281250,-0.125003,421.000000,0.044922,0.277344
18,20,0.140625,0.000000,244.000000,0.039062,0.134766
18,21,0.187500,0.000000,251.000000,0.052734,0.179688
18,22,0.187500,0.125003,319.000000,0.070312,0.173828
18,23,0.234375,0.125003,311.000000,0.175781,0.154297
18,24,0.234375,0.250007,266.000000,0.087891,0.216797
18,25,0.140625,-0.250007,204.000000,0.048828,0.132812
18,26,0.187500,-0.250007,183.000000,0.064453,0.175781
18,27,0.140625,-0.125003,458.000000,-0.009766,0.140625
18,28,0.187500,-0.125003,489.000000,0.058594,0.177734
19,1,0.140625,0.000000,373.000000,0.048828,0.132812
19,2,0.187500,0.000000,436.000000,0.064453,0.175781
19,3,0.234375,0.000000,241.000000,0.058594,0.226562
19,4,0.140625,0.125003,216.000000,0.105469,0.093750
19,5,0.187500,0.125003,477.000000,0.140625,0.125000
19,6,0.234375,0.125003,400.000000,0.175781,0.154297
19,7,0.281250,0.125003,126.000000,0.105469,0.261719
19,8,0.140625,0.250007,109.000000,0.105469,0.093750
19,9,0.187500,0.250007,242.000000,0.140625,0.125000
19,10,0.234375,0.250007,204.000000,0.175781,0.154297
19,11,0.281250,0.250007,64.000000,0.220703,0.175781
19,12,0.140625,-0.250007,348.000000,-0.003906,0.140625
19,13,0.187500,-0.250007,415.000000,-0.011719,0.187500
19,14,0.234375,-0.250007,280.000000,0.109375,0.207031
19,15,0.281250,-0.250007,244.000000,0.140625,0.244141
19,16,0.140625,-0.125003,667.000000,0.048828,0.132812
19,17,0.187500,-0.125003,770.000000,0.058594,0.177734
19,18,0.234375,-0.125003,525.000000,0.080078,0.220703
19,19,0.281250,-0.125003,411.000000,0.123047,0.253906
20,1,0.140625,0.000000,373.000000,0.048828,0.132812
20,2,0.187500,0.000000,436.000000,0.064453,0.175781
20,3,0.234375,0.000000,241.000000,0.058594,0.226562
20,4,0.140625,0.125003,216.000000,0.105469,0.093750
20,5,0.187500,0.125003,477.000000,0.140625,0.125000
20,6,0.234375,0.125003,400.000000,0.175781,0.154297
20,7,0.281250,0.125003,126.000000,0.105469,0.261719
20,8,0.140625,0.250007,109.000000,0.105469,0.093750
20,9,0.187500,0.250007,242.000000,0.140625,0.125000
20,10,0.234375,0.250007,204.000000,0.175781,0.154297
20,11,0.281250,0.250007,64.000000,0.220703,0.175781
20,12,0.140625,-0.250007,348.000000,-0.003906,0.140625
20,13,0.187500,-0.250007,415.000000,-0.011719,0.187500
