FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
46,14,0.187500,0.500013,847.000000,-0.035156,0.183594
46,15,0.234375,0.500013,614.000000,-0.044922,0.230469
46,16,0.281250,0.500013,165.000000,-0.052734,0.275391
46,17,0.140625,0.625017,138.000000,-0.027344,0.138672
46,18,0.187500,0.625017,273.000000,-0.035156,0.183594
46,19,0.234375,0.625017,208.000000,-0.044922,0.230469
46,20,0.187500,0.000000,160.000000,-0.105469,0.154297
46,21,0.234375,0.000000,152.000000,-0.117188,0.203125
46,22,0.234375,0.125003,215.000000,-0.109375,0.207031
46,23,0.140625,0.250007,209.000000,-0.039062,0.134766
46,24,0.187500,0.250007,289.000000,0.029297,0.185547
46,25,0.140625,0.375010,310.000000,-0.017578,0.138672
46,26,0.140625,0.500013,427.000000,-0.080078,0.117188
46,27,0.187500,0.500013,809.000000,-0.105469,0.154297
46,28,0.234375,0.500013,598.000000,-0.132812,0.193359
46,29,0.281250,0.500013,161.000000,-0.158203,0.232422
46,30,0.140625,0.625017,113.000000,-0.080078,0.117188
46,31,0.187500,0.625017,217.000000,-0.105469,0.154297
46,32,0.234375,0.625017,165.000000,-0.132812,0.193359
47,1,0.187500,0.000000,303.000000,-0.017578,0.187500
47,2,0.234375,0.000000,399.000000,-0.029297,0.232422
47,3,0.187500,0.125003,349.000000,-0.017578,0.187500
47,4,0.234375,0.125003,536.000000,-0.021484,0.232422
47,5,0.281250,0.125003,300.000000,-0.027344,0.279297
47,6,0.140625,0.250007,223.000000,-0.009766,0.140625
47,7,0.187500,0.250007,444.000000,-0.005859,0.187500
47,8,0.234375,0.250007,463.000000,-0.007812,0.234375
47,9,0.140625,0.375010,347.000000,0.000000,0.140625
47,10,0.187500,0.375010,698.000000,0.000000,0.187500
47,11,0.234375,0.375010,575.000000,0.007812,0.234375
47,12,0.140625,0.500013,211.000000,-0.115234,0.082031
47,13,0.187500,0.500013,603.000000,-0.087891,0.166016
47,14,0.234375,0.500013,732.000000,-0.109375,0.207031
47,15,0.281250,0.500013,347.000000,-0.132812,0.248047
47,16,0.140625,0.625017,174.000000,-0.056641,0.128906
47,17,0.187500,0.625017,517.000000,-0.076172,0.171875
47,18,0.234375,0.625017,563.000000,-0.095703,0.214844
47,19,0.281250,0.625017,240.000000,-0.115234,0.257812
47,20,0.375000,0.625017,75.000000,-0.187500,0.324219
47,21,0.375000,0.750020,93.000000,-0.175781,0.332031
47,22,0.187500,-0.375010,194.000000,0.087891,0.166016
47,23,0.234375,-0.375010,275.000000,0.109375,0.207031
47,24,0.281250,-0.375010,152.000000,0.132812,0.248047
47,25,0.187500,0.000000,218.000000,-0.082031,0.167969
47,26,0.281250,0.125003,221.000000,0.052734,0.275391
47,27,0.187500,0.375010,524.000000,-0.164062,0.089844
47,28,0.234375,0.375010,479.000000,-0.197266,0.125000
47,29,0.140625,0.500013,177.000000,-0.066406,0.125000
47,30,0.187500,0.500013,598.000000,-0.152344,0.109375
47,31,0.234375,0.500013,629.000000,-0.191406,0.136719
47,32,0.281250,0.500013,262.000000,-0.228516,0.164062
47,33,0.375000,0.625017,61.000000,-0.035156,0.373047
47,34,0.375000,0.750020,71.000000,-0.035156,0.373047
48,1,0.140625,0.000000,206.000000,-0.035156,0.136719
48,2,0.187500,0.000000,656.000000,-0.046875,0.181641
48,3,0.234375,0.000000,768.000000,-0.058594,0.226562
48,4,0.281250,0.000000,407.000000,-0.062500,0.275391
48,5,0.140625,0.125003,701.000000,-0.035156,0.136719
